# year month day f107 kp
2015  1  3  149  3.0
2015  1  4  150  4.0
2015  1  5  142  2.0
2015  1  6  142  2.0
2015  1  7  147  4.0
2015  1  8  157  2.0
2015  1  9  151  2.0
2015  1  10  152  3.0
2015  1  11  154  2.0
2015  1  12  159  3.0
2015  1  13  146  3.0
2015  1  14  142  3.0
2015  1  15  131  3.0
2015  1  16  125  2.0
2015  1  17  122  1.0
2015  1  18  126  2.0
2015  1  19  130  1.0
2015  1  20  126  1.0
2015  1  21  124  2.0
2015  1  22  120  3.0
2015  1  23  121  2.0
2015  1  24  125  2.0
2015  1  25  127  1.0
2015  1  26  147  3.0
2015  1  27  158  2.0
2015  1  28  159  1.0
2015  1  29  165  2.0
2015  1  30  159  1.0
2015  1  31  154  2.0
2015  2  1  142  2.0
2015  2  2  144  3.0
2015  2  3  149  2.0
2015  2  4  145  3.0
2015  2  5  142  3.0
2015  2  6  143  2.0
2015  2  7  153  2.0
2015  2  8  153  2.0
2015  2  9  146  3.0
2015  2  10  141  1.0
2015  2  11  131  2.0
2015  2  12  128  2.0
2015  2  13  125  1.0
2015  2  14  120  0.0
2015  2  15  120  3.0
2015  2  16  118  1.0
2015  2  17  119  3.0
2015  2  18  121  2.0
2015  2  19  119  1.0
2015  2  20  120  2.0
2015  2  21  116  2.0
2015  2  22  118  1.0
2015  2  23  117  3.0
2015  2  24  114  3.0
2015  2  25  111  3.0
2015  2  26  111  1.0
2015  2  27  118  1.0
2015  2  28  123  2.0
2015  3  1  128  2.0
2015  3  2  130  4.0
2015  3  3  125  2.0
2015  3  4  124  3.0
2015  3  5  130  2.0
2015  3  6  127  2.0
2015  3  7  138  2.0
2015  3  8  124  4.0
2015  3  9  123  1.0
2015  3  10  121  1.0
2015  3  11  132  2.0
2015  3  12  127  2.0
2015  3  13  119  3.0
2015  3  14  116  2.0
2015  3  15  114  1.0
2015  3  16  117  2.0
2015  3  17  114  8.0
2015  3  18  114  5.0
2015  3  19  109  5.0
2015  3  20  113  3.0
2015  3  21  114  2.0
2015  3  22  122  4.0
2015  3  23  128  4.0
2015  3  24  133  3.0
2015  3  25  138  3.0
2015  3  26  136  2.0
2015  3  27  138  3.0
2015  3  28  146  2.0
2015  3  29  145  3.0
2015  3  30  134  1.0
2015  3  31  128  3.0
2015  4  1  124  2.0
2015  4  2  121  3.0
2015  4  3  120  3.0
2015  4  4  122  3.0
2015  4  5  122  1.0
2015  4  6  126  2.0
2015  4  7  111  1.0
2015  4  8  106  1.0
2015  4  9  113  3.0
2015  4  10  115  4.0
2015  4  11  123  3.0
2015  4  12  134  1.0
2015  4  13  141  2.0
2015  4  14  147  3.0
2015  4  15  155  5.0
2015  4  16  150  3.0
2015  4  17  150  3.0
2015  4  18  148  2.7
2015  4  19  152  2.3
2015  4  20  150  2.7
2015  4  21  154  4.0
2015  4  22  150  3.3
2015  4  23  141  2.3
2015  4  24  135  2.0
2015  4  25  126  2.0
2015  4  26  119  1.0
2015  4  27  108  1.3
2015  4  28  108  1.7
2015  4  29  104  1.3
2015  4  30  102  2.0
2015  5  1  100  2.0
2015  5  2  106  2.0
2015  5  3  111  2.3
2015  5  4  125  2.0
2015  5  6  136  3.7
2015  5  7  147  1.7
2015  5  8  150  2.0
2015  5  10  160  2.3
2015  5  11  163  2.7
2015  5  13  157  4.7
2015  5  14  145  3.0
2015  5  16  131  1.7
2015  5  17  120  2.7
2015  5  19  110  3.7
2015  5  20  106  2.3
2015  5  21  102  1.0
2015  5  22  99  1.0
2015  5  23  98  1.3
2015  5  24  99  1.0
2015  5  25  97  1.3
2015  5  26  95  1.3
2015  5  27  95  1.3
2015  5  28  93  2.0
2015  5  29  92  2.0
2015  5  31  94  1.3
2015  6  1  100  2.0
2015  6  2  101  1.3
2015  6  3  109  1.3
2015  6  4  118  1.0
2015  6  5  126  0.7
2015  6  6  133  1.7
2015  6  7  137  2.0
2015  6  8  134  4.3
2015  6  9  137  3.0
2015  6  10  135  2.3
2015  6  11  140  2.3
2015  6  12  118  2.0
2015  6  13  136  2.3
2015  6  14  132  3.3
2015  6  15  135  3.3
2015  6  16  136  2.7
2015  6  17  136  2.7
2015  6  18  151  1.3
2015  6  19  137  1.7
2015  6  20  135  1.3
2015  6  21  136  1.3
2015  6  22  135  4.0
2015  6  23  116  6.0
2015  6  24  110  3.3
2015  6  25  102  5.0
2015  6  26  101  2.0
2015  6  27  97  2.0
2015  6  28  97  3.0
2015  6  29  97  2.0
2015  6  30  101  1.0
2015  7  1  109  2.0
2015  7  2  114  1.0
2015  7  3  112  1.0
2015  7  4  117  3.0
2015  7  5  125  3.0
2015  7  6  133  1.0
2015  7  7  133  1.0
2015  7  8  129  1.0
2015  7  9  122  2.0
2015  7  10  129  1.0
2015  7  11  120  3.0
2015  7  12  116  2.7
2015  7  13  110  4.3
2015  7  14  105  2.3
2015  7  15  101  2.0
2015  7  16  100  2.0
2015  7  17  97  2.0
2015  7  18  96  1.0
2015  7  19  99  1.7
2015  7  20  93  1.3
2015  7  21  91  2.3
2015  7  22  89  2.0
2015  7  23  89  3.3
2015  7  24  92  2.3
2015  7  25  94  2.3
2015  7  26  97  2.0
2015  7  27  100  2.3
2015  7  28  101  2.3
2015  7  29  101  1.7
2015  7  30  102  2.3
2015  7  31  101  3.0
2015  8  1  103  2.3
2015  8  2  102  2.7
2015  8  3  106  2.0
2015  8  4  107  1.7
2015  8  5  112  1.7
2015  8  6  122  2.7
2015  8  7  122  3.3
2015  8  8  121  2.7
2015  8  9  115  2.7
2015  8  10  106  2.3
2015  8  11  103  2.0
2015  8  12  99  2.3
2015  8  13  95  2.3
2015  8  14  93  1.3
2015  8  15  89  4.7
2015  8  16  86  4.3
2015  8  17  87  4.0
2015  8  18  89  2.7
2015  8  19  98  3.7
2015  8  20  103  2.7
2015  8  21  110  2.0
2015  8  22  117  2.3
2015  8  23  133  4.3
